run,lam,w_std,c_std,rep,off_rho_std,wq_Short,wq_Standard,wq_Long,rho_Short,rho_Standard,rho_Long,pb_Short,pb_Standard,pb_Long,pb_total
1,30,0.65,64,1,0.6094,2e-06,2.6e-05,0.000145,0.328791,0.605617,0.492388,0.0,0.0,0.0,0.0
1,30,0.65,64,2,0.6094,0.000117,7e-06,0.0,0.330986,0.617555,0.491248,0.0,0.0,0.0,0.0
1,30,0.65,64,3,0.6094,0.000217,2e-06,4.9e-05,0.318649,0.602908,0.496132,0.0,0.0,0.0,0.0
1,30,0.65,64,4,0.6094,2e-05,9e-06,9e-05,0.323902,0.609801,0.495246,0.0,0.0,0.0,0.0
1,30,0.65,64,5,0.6094,4.4e-05,0.0,1e-06,0.322619,0.615709,0.494598,0.0,0.0,0.0,0.0
1,30,0.65,64,6,0.6094,0.0,1e-06,3.3e-05,0.329565,0.603621,0.49949,0.0,0.0,0.0,0.0
1,30,0.65,64,7,0.6094,0.0,1.6e-05,2e-06,0.329644,0.605274,0.488527,0.0,0.0,0.0,0.0
1,30,0.65,64,8,0.6094,9e-06,0.0,5e-06,0.332174,0.604949,0.48286,0.0,0.0,0.0,0.0
1,30,0.65,64,9,0.6094,6e-06,5e-06,5e-06,0.3227,0.608586,0.48324,0.0,0.0,0.0,0.0
1,30,0.65,64,10,0.6094,4.4e-05,4e-06,1.3e-05,0.328645,0.606911,0.491398,0.0,0.0,0.0,0.0
2,30,0.65,80,1,0.4875,2e-06,0.0,0.000145,0.328791,0.484494,0.492388,0.0,0.0,0.0,0.0
2,30,0.65,80,2,0.4875,0.000117,0.0,0.0,0.330986,0.494044,0.491248,0.0,0.0,0.0,0.0
2,30,0.65,80,3,0.4875,0.000217,0.0,4.9e-05,0.318649,0.482327,0.496132,0.0,0.0,0.0,0.0
2,30,0.65,80,4,0.4875,2e-05,0.0,9e-05,0.323902,0.487841,0.495246,0.0,0.0,0.0,0.0
2,30,0.65,80,5,0.4875,4.4e-05,0.0,1e-06,0.322619,0.492567,0.494598,0.0,0.0,0.0,0.0
2,30,0.65,80,6,0.4875,0.0,0.0,3.3e-05,0.329565,0.482897,0.49949,0.0,0.0,0.0,0.0
2,30,0.65,80,7,0.4875,0.0,0.0,2e-06,0.329644,0.484219,0.488527,0.0,0.0,0.0,0.0
2,30,0.65,80,8,0.4875,9e-06,0.0,5e-06,0.332174,0.483959,0.48286,0.0,0.0,0.0,0.0
2,30,0.65,80,9,0.4875,6e-06,0.0,5e-06,0.3227,0.486869,0.48324,0.0,0.0,0.0,0.0
2,30,0.65,80,10,0.4875,4.4e-05,0.0,1.3e-05,0.328645,0.485529,0.491398,0.0,0.0,0.0,0.0
3,30,0.8,64,1,0.75,0.0,0.004311,0.0,0.185937,0.743606,0.281804,0.0,0.0,0.0,0.0
3,30,0.8,64,2,0.75,0.0,0.004201,0.0,0.181661,0.759859,0.279825,0.0,0.0,0.0,0.0
3,30,0.8,64,3,0.75,0.0,0.001384,0.0,0.179523,0.741018,0.285238,0.0,0.0,0.0,0.0
3,30,0.8,64,4,0.75,0.0,0.003199,0.0,0.187599,0.748514,0.28691,0.0,0.0,0.0,0.0
3,30,0.8,64,5,0.75,0.0,0.003557,0.0,0.185933,0.758371,0.278635,0.0,0.0,0.0,0.0
3,30,0.8,64,6,0.75,0.0,0.001763,0.0,0.187476,0.745209,0.2855,0.0,0.0,0.0,0.0
